re,f_re,R,F1,F2,F3,F4,delta_f,F4_pred,F4_act/pred,ulp_f,F1/ulp,F4/ulp
2.005,0.0024937655860348684,0.04993761694389179,0.0,0.0,0.0,8.326672684688674e-17,8.673617379884035e-18,8.684452633802508e-17,0.9588022453227223,4.336808689942018e-19,0.0,192.0
2.0059183673469385,0.0029504527418861004,0.054318070122990385,4.336808689942018e-19,0.0,0.0,-2.220446049250313e-16,-2.42861286636753e-17,-2.235547821257744e-16,0.9932447108203956,4.336808689942018e-19,1.0,-512.0
2.0068367346938776,0.0034067219199674925,0.0583671304757009,0.0,0.0,0.0,1.8041124150158794e-16,2.1250362580715887e-17,1.8204049443173096e-16,0.9910500521588397,4.336808689942018e-19,0.0,416.0
2.007755102040816,0.0038625736938401323,0.062149607350651316,0.0,0.0,0.0,-1.249000902703301e-16,-1.5178830414797062e-17,-1.2211525592717997e-16,1.0228049666850045,4.336808689942018e-19,0.0,-288.0
2.008673469387755,0.004318008636017168,0.06571155633537504,0.0,0.0,0.0,2.7755575615628914e-16,3.642919299551295e-17,2.771901551805259e-16,1.0013189536819054,8.673617379884035e-19,0.0,320.0
2.009591836734694,0.004773027317964917,0.06908709950464643,0.0,0.0,0.0,3.885780586188048e-16,5.2909066017292616e-17,3.829156701949416e-16,1.0147875599371017,8.673617379884035e-19,0.0,448.0
2.0105102040816325,0.00522763031010498,0.07230235342023786,8.673617379884035e-19,0.0,0.0,-2.7755575615628914e-17,-5.204170427930421e-18,-3.598894214191473e-17,0.7712251031492038,8.673617379884035e-19,1.0,-32.0
2.011428571428571,0.00568181818181801,0.07537783614443977,0.0,0.0,0.0,-1.249000902703301e-16,-1.9949319973733282e-17,-1.3232881835123386e-16,0.9438616004173328,8.673617379884035e-19,0.0,-144.0
2.01234693877551,0.006135591501445159,0.07833001660567396,-8.673617379884035e-19,0.0,0.0,4.163336342344337e-17,7.806255641895632e-18,4.98292735031169e-17,0.8355201771271888,8.673617379884035e-19,-1.0,48.0
2.013265306122449,0.006588950836289853,0.08117235265957155,0.0,0.0,0.0,1.5265566588595902e-16,2.5153490401663703e-17,1.5493877889159403e-16,0.9852644184885926,8.673617379884035e-19,0.0,176.0
2.0141836734693874,0.007041896752621568,0.08391601010904634,-8.673617379884035e-19,0.0,0.0,9.71445146547012e-17,1.734723475976807e-17,1.0336069801951892e-16,0.939859313221319,8.673617379884035e-19,-1.0,112.0
2.0151020408163265,0.007494429815677495,0.08657037493090518,8.673617379884035e-19,0.0,0.0,-1.249000902703301e-16,-2.2551405187698492e-17,-1.3024897492760977e-16,0.9589333838500266,8.673617379884035e-19,1.0,-144.0
2.016020408163265,0.007946550589664314,0.08914342706932639,-1.734723475976807e-18,0.0,0.0,-6.938893903907228e-17,-1.214306433183765e-17,-6.810970102368878e-17,1.0187820236494443,1.734723475976807e-18,-1.0,-40.0
2.016938775510204,0.008398259637761862,0.09164201895289006,0.0,0.0,0.0,1.3877787807814457e-17,3.469446951953614e-18,1.8929345902653753e-17,0.7331361516231205,1.734723475976807e-18,0.0,8.0
2.017857142857143,0.008849557522123908,0.0940720868383598,-1.734723475976807e-18,0.0,0.0,2.3592239273284576e-16,4.5102810375396984e-17,2.397247254272954e-16,0.9841387546166871,1.734723475976807e-18,-1.0,136.0
2.0187755102040814,0.009300444803881813,0.0964388137830501,0.0,0.0,0.0,-1.3877787807814457e-17,-3.469446951953614e-18,-1.7987814324212466e-17,0.7715105102644008,1.734723475976807e-18,0.0,-8.0
2.0196938775510205,0.009750922043146648,0.09874675712724265,0.0,0.0,0.0,2.3592239273284576e-16,4.683753385137379e-17,2.3715985827777664e-16,0.9947821458744445,1.734723475976807e-18,0.0,136.0
2.020612244897959,0.010200989799010185,0.1009999495000378,0.0,0.0,0.0,1.249000902703301e-16,2.6020852139652106e-17,1.288161641092819e-16,0.9695995152003628,1.734723475976807e-18,0.0,72.0
2.0215306122448977,0.01065064862954912,0.10320197977533725,0.0,0.0,0.0,-1.3877787807814457e-17,-1.734723475976807e-18,-8.404506772802064e-18,1.651231676405396,1.734723475976807e-18,0.0,-8.0
2.022448979591837,0.011099899091826515,0.10535605863844051,0.0,0.0,0.0,2.636779683484747e-16,5.377642775528102e-17,2.55212791984893e-16,1.0331690911640619,1.734723475976807e-18,0.0,152.0
2.0233673469387754,0.011548741741893132,0.10746507219507709,0.0,0.0,0.0,-1.3877787807814457e-17,-1.734723475976807e-18,-8.071103664397267e-18,1.7194411551212334,1.734723475976807e-18,0.0,-8.0
2.024285714285714,0.011997177134791648,0.10953162618527879,1.734723475976807e-18,0.0,0.0,-1.6653345369377348e-16,-3.642919299551295e-17,-1.662953169977179e-16,1.0014320108368346,1.734723475976807e-18,1.0,-96.0
2.025204081632653,0.012445205824557881,0.11155808273970058,0.0,0.0,0.0,0.0,1.734723475976807e-18,7.774978887116821e-18,0.0,1.734723475976807e-18,0.0,0.0
2.0261224489795917,0.012892828364222342,0.11354659116073164,-1.734723475976807e-18,0.0,0.0,1.3877787807814457e-17,3.469446951953614e-18,1.527763588711534e-17,0.9083727292858531,1.734723475976807e-18,-1.0,8.0
2.0270408163265303,0.013340045305814119,0.11549911387458399,1.734723475976807e-18,0.0,0.0,5.551115123125783e-17,1.214306433183765e-17,5.25677813642074e-17,1.0559918982819108,1.734723475976807e-18,1.0,32.0
2.0279591836734694,0.013786857200362324,0.11741744844937793,0.0,0.0,0.0,1.6653345369377348e-16,3.9898639947466563e-17,1.6990081318564857e-16,0.9801804392295896,1.734723475976807e-18,0.0,96.0
2.028877551020408,0.014233264597897644,0.11930324638457096,0.0,0.0,0.0,6.938893903907228e-17,1.734723475976807e-17,7.27022746047065e-17,0.9544259710765677,1.734723475976807e-18,0.0,40.0
2.0297959183673466,0.014679268047456118,0.12115802923230519,1.734723475976807e-18,0.0,0.0,1.3877787807814457e-17,3.469446951953614e-18,1.4317858147483517e-17,0.9692642338584416,1.734723475976807e-18,1.0,8.0
