fixture,cut_threshold,path_label,cluster_id,cluster_members
pure_algebraic,0.15,P_sign_c,5,P_compound_split P_sign_c
pure_algebraic,0.2,F1,1,F1 P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
pure_algebraic,0.2,F2,2,F2 P_sign_b
pure_algebraic,0.2,F3,3,F3 P_diff_squares P_distrib_sqrt_mul
pure_algebraic,0.2,F4,4,F4
pure_algebraic,0.2,P_compound_split,5,P_compound_split P_sign_c
pure_algebraic,0.2,P_compound_zero,1,F1 P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
pure_algebraic,0.2,P_diff_squares,3,F3 P_diff_squares P_distrib_sqrt_mul
pure_algebraic,0.2,P_distrib_mul,1,F1 P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
pure_algebraic,0.2,P_distrib_sqrt_mul,3,F3 P_diff_squares P_distrib_sqrt_mul
pure_algebraic,0.2,P_factor_b,6,P_factor_b
pure_algebraic,0.2,P_scaled_2,1,F1 P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
pure_algebraic,0.2,P_scaled_half,1,F1 P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
pure_algebraic,0.2,P_sign_a,1,F1 P_compound_zero P_distrib_mul P_scaled_2 P_scaled_half P_sign_a
pure_algebraic,0.2,P_sign_b,2,F2 P_sign_b
pure_algebraic,0.2,P_sign_c,5,P_compound_split P_sign_c
