fixture,n_cells_divergent,hypothesized_cause,sample_operands
schwarzschild,24,decimal_multiplication_rounding,2.011428571428571 2.0187755102040814 2.106896551724138 2.1120689655172415 2.117241379310345 2.122413793103448 2.127586206896552 2.132758620689655 2.1379310344827585 2.143103448275862 2.1482758620689655 2.163793103448276 2.18448275862069 2.194827586206897 2.2 4.206896551724138 4.689655172413794 5.655172413793103 5.896551724137931 6.137931034482759
sr,24,decimal_multiplication_rounding,0.03183602941176471 0.05367205882352941 0.09734411764705882 0.10462279411764705 0.12645882352941176 0.1701308823529412 0.1919669117647059 0.2138029411764706 0.24291764705882354 0.26475367647058823 0.2793110294117647 0.3157044117647059 0.3739338235294118 0.4030485294117647 0.42488455882352943 0.43944191176470593 0.5559007352941177 0.5850154411764706 0.6432448529411765 0.6941955882352941
pure_algebraic,29,decimal_multiplication_rounding,0.024411764705882355 0.05323529411764706 0.06764705882352941 0.07485294117647058 0.08926470588235294 0.11088235294117647 0.14691176470588235 0.15411764705882353 0.16132352941176473 0.1685294117647059 0.17573529411764707 0.20455882352941177 0.21897058823529414 0.24058823529411766 0.24779411764705883 0.29102941176470587 0.29823529411764704 0.3198529411764706 0.3486764705882353 0.3775
